id,name,description
ADAPTABILITY,Adaptability,Powers up moves of the same type.
AERILATE,Aerilate,Normal-type moves become Flying-type and power up.
AFTERMATH,Aftermath,Damages the attacker landing the finishing hit.
AIRLOCK,Air Lock,Eliminates the effects of weather.
AMPLIFY,Amplify,Powers up own sound moves. Resists other sound moves.
ANALYTIC,Analytic,Boosts move power when the Pokémon moves last.
ANGERPOINT,Anger Point,+6 Attack after a critical hit or being paralyzed. +2 on flinch.
ANGERSHELL,Anger Shell,Gets a powerful boost if a hit makes its HP half or less.
ANTICIPATION,Anticipation,Senses a foe's dangerous moves.
ARENATRAP,Arena Trap,Prevents the foe from fleeing.
ARMORTAIL,Armor Tail,Prevents opposing Pokémon from using priority moves.
AROMAVEIL,Aroma Veil,Protects against attacks that limit move choices.
ASONECHILLINGNEIGH,As One,Combines Unnerve and Chilling Neigh Abilities.
ASONEGRIMNEIGH,As One,Combines Unnerve and Grim Neigh Abilities.
ASTRALRISING,Astral Rising,"Unleashes the divine power of the stars, and boosts the power of moves of the same type as the user."
AURABREAK,Aura Break,"Reverses ""Aura"" Abilities to weaken affected moves."
BADDREAMS,Bad Dreams,Reduces a sleeping foe's HP.
BALLFETCH,Ball Fetch,Retrieves the first thrown Poké Ball if it failed.
BATTERY,Battery,Powers up ally Pokémon's special moves.
BATTLEARMOR,Battle Armor,The Pokémon is protected against critical hits.
BATTLEBOND,Battle Bond,Defeating a foe lets it become Ash-Greninja.
BEADSOFRUIN,Beads of Ruin,Lowers the Sp. Def of all Pokémon except the user.
BEASTBOOST,Beast Boost,Boosts its best stat each time it deals a KO.
BERSERK,Berserk,Ups Sp. Atk if a hit makes its HP half or less.
BIGPECKS,Big Pecks,Protects from Defense-lowering attacks.
BLAZE,Blaze,Powers up Fire-type moves while at half health or below.
BULLETPROOF,Bulletproof,Protects the Pokémon from some ball and bomb moves.
CACOPHONY,Cacophony,Reduces damage from Sound moves. Sound moves hit Psychic types.
CAUSTICFUMES,Caustic Fumes,"Upon entry, calls forth Acid Rain for 5 Turns."
CHEEKPOUCH,Cheek Pouch,Restores HP as well when the Pokémon eats a Berry.
CHILLINGNEIGH,Chilling Neigh,"When knocking out a target, raises Attack."
CHLOROPHYLL,Chlorophyll,Boosts the Pokémon's Speed in sunshine.
CLEARBODY,Clear Body,Prevents other Pokémon from lowering its stats.
CLOUDBURST,Cloud Burst,Changes the Pokémon's form when HP is halved.
CLOUDNINE,Cloud Nine,Eliminates the effects of weather.
COLORCHANGE,Color Change,Changes the Pokémon's type to the foe's move.
COMATOSE,Comatose,"It's always drowsing, and attacks without waking."
COMMANDER,Commander,Pairs up and commands with an active Dondozo.
COMPETITIVE,Competitive,Sharply boosts Sp. Atk when a stat is lowered.
COMPOUNDEYES,Compound Eyes,"The Pokémon's accuracy is boosted. When first in the team, it spots wild Pokémon holding items."
CONFLAGRATE,Conflagrate,Normal-type moves become Fire-type and powered up.
CONTRARY,Contrary,Makes stat changes have an opposite effect.
CORROSION,Corrosion,It can poison Steel and Poison-type targets. Also hits Steel with poison moves.
COSTAR,Costar,Copies an ally's stat changes upon entry to battle.
COTTONDOWN,Cotton Down,Scatters Speed-lowering cotton fluff when hit.
CREAMSHIELD,Cream Shield,"The user is protected by a layer of cream. The healthier they are, the less damage they take."
CUDCHEW,Cud Chew,Reuses an eaten Berry at the end of the next turn.
CURIOUSMEDICINE,Curious Medicine,Removes all allies' stat changes on joining battle.
CURSEDBODY,Cursed Body,May disable a move used on the Pokémon.
CUTECHARM,Cute Charm,Contact with the Pokémon may cause infatuation.
DAMP,Damp,Prevents self-destructing moves. Reduces Fire and Water moves damage.
DANCER,Dancer,Repeats another Pokémon's dance move immediately.
DARKAURA,Dark Aura,Powers up each Pokémon's Dark-type moves.
DAUNTLESSSHIELD,Dauntless Shield,Boosts Defense when entering a battle.
DAZZLING,Dazzling,Makes foes unable to use priority attacks.
DEADEYE,Deadeye,The user's moves never miss.
