id,form_id,name,form_name,type1,type2,hp,attack,defense,special_attack,special_defense,speed,bst,ability1,ability2,hidden_ability,egg_group1,egg_group2,growth_rate,catch_rate,base_exp
ABOMASNOW,0,Abomasnow,,GRASS,ICE,90,100,85,100,85,35,495,SNOWWARNING,SOUNDPROOF,GRASSYSURGE,Monster,Grass,Slow,60,173
ABOMASNOW_1,1,Abomasnow,,GRASS,ICE,90,132,105,132,105,30,594,SNOWWARNING,SOUNDPROOF,SNOWWARNING,Monster,Grass,Slow,60,208
ABRA,0,Abra,,PSYCHIC,,25,20,15,105,55,90,310,SYNCHRONIZE,INNERFOCUS,MAGICGUARD,Humanlike,,Parabolic,200,62
ABSOL,0,Absol,,DARK,,75,125,60,60,60,95,475,PRESSURE,SUPERLUCK,JUSTIFIED,Field,,Parabolic,30,163
ABSOL_1,1,Absol,,DARK,FLYING,95,60,80,145,80,115,575,MAGICBOUNCE,,MAGICBOUNCE,Field,,Parabolic,30,198
ACCELGOR,0,Accelgor,,BUG,,80,70,40,100,60,145,495,HYDRATION,STICKYHOLD,UNBURDEN,Bug,,Medium,75,173
AEGISLASH,0,Aegislash,,STEEL,GHOST,60,50,140,50,140,60,500,STANCECHANGE,,,Mineral,,Medium,45,250
AEGISLASHX,0,WIP,,NORMAL,SOUND,1,1,1,1,1,1,6,RUNAWAY,,,Undiscovered,,Slow,1,100
AEGISLASH_1,1,Aegislash,,STEEL,GHOST,60,140,50,140,50,60,500,STANCECHANGE,,,Mineral,,Medium,45,250
AERODACTYL,0,Aerodactyl,,ROCK,FLYING,80,105,65,60,75,130,515,ROCKHEAD,PRESSURE,UNNERVE,Flying,,Slow,45,180
AERODACTYL_1,1,Aerodactyl,,ROCK,FLYING,80,135,85,70,95,150,615,TOUGHCLAWS,,TOUGHCLAWS,Flying,,Slow,45,215
AGGRON,0,Aggron,,STEEL,ROCK,70,110,180,60,60,50,530,FILTER,ROCKHEAD,HEAVYMETAL,Monster,,Slow,45,265
AGGRON_1,1,Aggron,,STEEL,,70,140,230,60,80,50,630,FILTER,,FILTER,Monster,,Slow,45,265
AIPOM,0,Aipom,,NORMAL,,55,70,55,40,55,85,360,RUNAWAY,PICKUP,SKILLLINK,Field,,Fast,45,72
ALAKAZAM,0,Alakazam,,PSYCHIC,,55,50,45,135,95,120,500,SYNCHRONIZE,INNERFOCUS,MAGICGUARD,Humanlike,,Parabolic,50,250
ALAKAZAM_1,1,Alakazam,,PSYCHIC,,55,50,65,175,105,150,600,TRACE,,TRACE,Humanlike,,Parabolic,50,300
ALCREMIE,0,Alcremie,,FAIRY,,65,60,75,110,121,64,495,SWEETVEIL,,AROMAVEIL,Fairy,Amorphous,Medium,100,173
ALOMOMOLA,0,Alomomola,,WATER,,165,75,80,40,45,65,470,HEALER,HYDRATION,REGENERATOR,Water1,Water2,Fast,75,165
ALTARIA,0,Altaria,,DRAGON,FLYING,85,85,90,85,105,80,530,NATURALCURE,CLOUDNINE,FLUFFY,Flying,Dragon,Erratic,45,172
ALTARIA_1,1,Altaria,,DRAGON,FAIRY,85,125,110,125,105,80,630,PIXILATE,,PIXILATE,Flying,Dragon,Erratic,45,207
AMAURA,0,Amaura,,ROCK,ICE,77,59,50,67,63,46,362,REFRIGERATE,,SNOWWARNING,Monster,,Medium,45,72
AMBIPOM,0,Ambipom,,NORMAL,,75,100,66,60,66,115,482,TECHNICIAN,PICKUP,SKILLLINK,Field,,Fast,45,169
AMOONGUSS,0,Amoonguss,,GRASS,POISON,114,85,70,85,80,30,464,EFFECTSPORE,,REGENERATOR,Grass,,Medium,75,162
AMPHAROS,0,Ampharos,,ELECTRIC,,90,75,85,115,90,55,510,ILLUMINATE,,PLUS,Monster,Field,Parabolic,45,255
AMPHAROS_1,1,Ampharos,,ELECTRIC,DRAGON,90,95,105,165,110,45,610,MOLDBREAKER,,MOLDBREAKER,Monster,Field,Parabolic,45,305
ANNIHILAPE,0,Annihilape,,FIGHTING,GHOST,110,115,80,50,90,90,535,VITALSPIRIT,INNERFOCUS,DEFIANT,Field,,Medium,45,268
ANORITH,0,Anorith,,ROCK,BUG,45,95,50,40,50,75,355,BATTLEARMOR,,SWIFTSWIM,Water3,,Erratic,45,71
APPLETUN,0,Appletun,,GRASS,DRAGON,110,85,80,100,80,30,485,RIPEN,GLUTTONY,THICKFAT,Grass,Dragon,Erratic,45,170
APPLIN,0,Applin,,GRASS,DRAGON,40,40,80,40,40,20,260,RIPEN,GLUTTONY,BULLETPROOF,Grass,Dragon,Erratic,255,52
ARAQUANID,0,Araquanid,,WATER,BUG,68,70,92,50,132,42,454,WATERBUBBLE,,WATERABSORB,Water1,Bug,Medium,100,159
ARBOK,0,Arbok,,POISON,SOUND,70,105,79,50,84,80,468,INTIMIDATE,DISHEARTEN,UNNERVE,Field,Dragon,Medium,90,157
ARBOLIVA,0,Arboliva,,GRASS,NORMAL,78,69,90,125,109,39,510,SEEDSOWER,,HARVEST,Grass,,Parabolic,45,255
ARCANINE,0,Arcanine,,FIRE,,90,110,80,100,80,95,555,INTIMIDATE,FLASHFIRE,JUSTIFIED,Field,,Slow,75,194
ARCANINE_1,1,Arcanine,,FIRE,ROCK,90,110,80,100,80,95,555,INTIMIDATE,GUARDDOG,ROCKHEAD,Field,,Slow,75,194
ARCEUS,0,Arceus,,NORMAL,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_1,1,Arceus,,FIGHTING,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_10,10,Arceus,,FIRE,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_11,11,Arceus,,WATER,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_12,12,Arceus,,GRASS,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_13,13,Arceus,,ELECTRIC,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_14,14,Arceus,,PSYCHIC,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_15,15,Arceus,,ICE,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_16,16,Arceus,,DRAGON,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_17,17,Arceus,,DARK,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_18,18,Arceus,,FAIRY,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_2,2,Arceus,,FLYING,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_3,3,Arceus,,POISON,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_4,4,Arceus,,GROUND,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_5,5,Arceus,,ROCK,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_6,6,Arceus,,BUG,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_7,7,Arceus,,GHOST,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_8,8,Arceus,,STEEL,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCEUS_9,9,Arceus,,QMARKS,,120,120,120,120,120,120,720,MULTITYPE,,,Undiscovered,,Slow,3,360
ARCHALUDON,0,Archaludon,,STEEL,DRAGON,90,105,130,125,65,85,600,STAMINA,STURDY,STALWART,Mineral,Dragon,Medium,10,300
