id,name,type,category,power,accuracy,pp,priority,target,description
ABSORB,Absorb,GRASS,Physical,35,100,25,0,NearOther,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
ACCELEROCK,Accelerock,ROCK,,40,100,20,1,NearOther,The user smashes into the target at high speed. This move always goes first.
ACID,Acid,POISON,Physical,40,100,30,0,AllNearFoes,The foe is attacked with a spray of harsh acid. It may also lower the target's Sp. Def stat.
ACIDARMOR,Acid Armor,POISON,Special,0,0,20,0,User,"The user alters its cellular structure to liquefy itself, sharply raising its Defense stat."
ACIDRAIN,Acid Rain,POISON,Special,0,0,10,0,BothSides,"The user generates an acid rain that damages all the Pokémon, except Poison-Type Pokémon."
ACIDSPRAY,Acid Spray,POISON,Physical,40,100,20,0,NearOther,The user spits fluid that works to melt the target. This harshly reduces the target's Sp. Def stat.
ACROBATICS,Acrobatics,FLYING,,55,100,15,0,Other,The user nimbly strikes the foe. This attack does more damage if the user is not holding an item.
ACUPRESSURE,Acupressure,NORMAL,Special,0,0,30,0,UserOrNearAlly,"The user applies pressure to stress points, sharply boosting one of its stats."
AERIALACE,Aerial Ace,FLYING,,60,0,20,0,Other,"The user confounds the foe with speed, then slashes. The attack lands without fail."
AEROBLAST,Aeroblast,FLYING,Physical,100,95,5,0,Other,A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
AFROBREAK,Afro Break,NORMAL,,120,100,15,0,NearOther,"The user charges its head into the foe, using its powerful guard hair. The user also takes damage."
AFTERYOU,After You,NORMAL,Special,0,0,15,0,NearOther,The user helps the target and makes it use its move right after the user.
AGILITY,Agility,PSYCHIC,Special,0,0,30,0,User,The user relaxes and lightens its body to move faster. It sharply boosts the Speed stat.
AIRCUTTER,Air Cutter,FLYING,Physical,60,100,25,0,AllNearFoes,The user launches razor-like wind to slash the opposing team. Critical hits land more easily.
AIRSLASH,Air Slash,FLYING,Physical,85,95,15,0,Other,The user attacks with a blade of air that slices even the sky. It may also make the target flinch.
